question,positive1,positive2,positive3,positive4,neg_1,neg_2,neg_3,neg_4,neg_5,neg_6
"Abby and Bobby type at constant rates of 80 words per minute and 60 words per minute, respectively. Bobby begins typing before Abby and has typed 400 words when Abby begins typing at 1:30 pm. If they continue typing at their respective rates, at what time will Abby have typed exactly 200 more words than Bobby?","Abby and Bobby type at constant rates of 80 words per minute and 60 words per minute respectively.Bobby starts typing in front of Abby and has typed 400 words as Abby starts typing at 1.30pm.If they keep typing at their own pace, at what point will Abby have typed 200 more words than Bobby?","Abby and Bobby type at constant rates of 80 words per minute and 60 words per minute, respectively. Bobby begins typing before Abby and has typed 400 words when Abby begins typing at 1:30 pm. If they continue typing at their respective rates, at what time will Abby have typed exactly 200 more words than Bobby?","Abby and Bobby type at constant rates of eighty words per minute and sixty words per minute, respectively. Bobby begins typing before Abby and has typed four hundred words when Abby begins typing at one:thirty pm. If they continue typing at their respective rates, at what time will Abby have typed exactly two hundred more words than Bobby?",,"Abby and Bobby type at constant rates of 80 per minute and 60 per minute, respectively. Bobby begins typing before Abby and has typed 400 when Abby begins typing at 1:30 pm. If they continue typing at their respective rates, at what time will Abby have typed exactly 200 more than Bobby?","Abby and Bobby type at constant rates of 80 words per minute and 60 words per minute, respectively. Bobby begins typing before Abby and has typed 400 words when Abby begins typing at 1:30 pm.","Abby and Bobby type at constant rates of 80 words per minute and 60 words per minute, respectively. Moyna begins typing before Terri and has typed 400 words when Abby begins typing at 1:30 pm. If they continue typing at their respective rates, at what time will Abby have typed exactly 200 more words than Bobby?","Abby and Bobby type at constant rates of 80 words per minute and 60 words per minute, respectively. Bobby begins typing before Abby and has typed words when Abby begins typing at 1: pm. If they continue typing at their respective rates, at what time will Abby have typed exactly 200 more words than Bobby?","Abby and Bobby type at constant rates of 80 words per minute and 60 words per minute, respectively. Bobby begins typing before Abby and has typed 400 words when Abby begins typing at 1:30 pm. If they continue typing at their respective rates, at what time will Abby have typed exactly 200 more words than Bobby?","Abby and Bobby type at constant rates of 80 words per year and 60 words per week, respectively. Bobby begins typing before Abby and has typed 400 words when Abby begins typing at 1:30 pm. If they continue typing at their respective rates, at what time will Abby have typed exactly 200 more words than Bobby?"
"The least number which when divided by 5, 6 , 7 and 8 leaves a remainder 3, but when divided by 9 leaves no remainder, is:","The smallest number that leaves a remainder 3 divided by 5, 6, 7 and 8, but leaves no remainder divided by 9, is:","The least number which when divided by 5, 6 , 7 and 8 leaves a remainder 3, but when divided by 9 leaves no remainder, is:","The least number which when divided by five, six , seven and eight leaves a remainder three, but when divided by nine leaves no remainder, is:","The least number which when divided by 5, 6, 7 and 8 leaves a remainder 3, but when divided by 9 leaves no remainder, is:","The which when divided by 5, 6 , 7 and 8 leaves a remainder 3, but when divided by 9 leaves no remainder, is:","The least number which when divided by 5, 6 , 7 and 8 leaves a remainder 3, but when divided by 9 leaves","The least number which when divided by 5, 6 , 7 and 8 technique a remainder 3, but when divided by 9 leaves no remainder, is:","The least number which when divided by 5, , and 8 leaves a remainder 3, but when divided by 9 leaves no remainder, is:",3 leaves no remainder but when divided by 6 and 8 it leaves 5.,"The least number which when divided by 5, 6, 7 and 8 leaves a remainder 3, but when divided by 9 leaves no remainder, is:"
A 415 m long train is running at 63 km/hr. In how much time will it cross a tunnel 285 m long?,A 415 m train travels at 63 km / h.How much time will it take to cross a 285-metre-long tunnel?,A 415 m long train is running at 63 km/hr. In how much time will it cross a tunnel 285 m long?,A four hundred and fifteen m long train is running at sixty-three km/hr. In how much time will it cross a tunnel two hundred and eighty-five m long?,A 415 metre long train is running at 63 km/hr. In how much time will it cross a tunnel 285 m long?,A 415 m long train is running at 63 km/hr. In how much time will it cross a 285 m long?,A 415 m long train is running at 63 km/hr.,A oppose m long train is running at 63 km/hr. In how much time will it cross a tunnel 285 m long?,A m long train is running at 63 km/hr. In how much time will it cross a tunnel m long?,How long will it take for the train to cross the tunnel?,A 415 mm long train is running at 63 km/hr. In how much time will it cross a tunnel 285 m long?
"A factory has 500 workers, 10 percent of whom are women. If 50 additional workers are to be hired and all of the present workers remain, how many of the additional workers must be women in order to raise the percent of women employees to 20 percent?","One factory has 500 workers, 10 percent of whom are women.If 50 additional workers are to be hired and all existing workers remain, how many of the additional workers will have to be women to increase the percentage of female employees to 20%?","A factory has 500 workers, 10 percent of whom are women. If 50 additional workers are to be hired and all of the present workers remain, how many of the additional workers must be women in order to raise the percent of women employees to 20 percent?","A factory has five hundred workers, ten percent of whom are women. If fifty additional workers are to be hired and all of the present workers remain, how many of the additional workers must be women in order to raise the percent of women employees to twenty percent?",,"A factory has 500 workers, 10 percent of whom are . If 50 additional workers are to be hired and all of the present workers remain, how many of the additional workers must be in order to raise the percent of employees to 20 percent?","A factory has 500 workers, 10 percent of whom are women.","A factory has 500 highway, 10 percent of whom are women. If 50 additional workers are to be hired and all of the present workers remain, how many of the additional workers must be women in order to raise the percent of women employees to 20 percent?","A factory has workers, 10 percent of whom are women. If 50 additional workers are to be hired and all of the present workers remain, how many of the additional workers must be women in order to raise the percent of women employees to percent?","A factory has 500 1818, 10 percent of whom are women. If 50 additional workers are to be hired and all of the present workers remain, how many of the additional workers must be women in order to raise the percent of women employees to 20 percent?","A factory has 500 9210, 10 percent of whom are women. If 50 additional workers are to be hired and all of the present workers remain, how many of the additional workers must be women in order to raise the percent of women employees to 20 percent?"
"A crow leaves its nest, and flies back and forth from its nest to a nearby ditch to gather worms. The distance between the nest and the ditch is 100 meters. In one and a half hours, the crow manages to bring worms to its nest 15 times. What is the speed of the crow in kilometers per hour?","A crow leaves its nest and flies from its nest to a nearby ditch to collect worms.The distance between the nest and the moat is 100 meters.In an hour and a half, the crow manages to bring worms into its nest 15 times.How fast is the linear distance in kilometres per hour?","A crow leaves its nest, and flies back and forth from its nest to a nearby ditch to gather worms. The distance between the nest and the ditch is 100 meters. In one and a half hours, the crow manages to bring worms to its nest 15 times. What is the speed of the crow in kilometers per hour?","A crow leaves its nest, and flies back and forth from its nest to a nearby ditch to gather worms. The distance between the nest and the ditch is one hundred meters. In one and a half hours, the crow manages to bring worms to its nest fifteen times. What is the speed of the crow in kilometers per hour?",,"A leaves its nest, and flies back and forth from its nest to a nearby ditch to gather worms. The distance between the nest and the ditch is 100 meters. In one and a half hours, the manages to bring worms to its nest 15 times. What is the speed of the in kilometers per hour?","A crow leaves its nest, and flies back and forth from its nest to a nearby ditch to gather worms. The distance between the nest and the ditch is 100 meters. In one and a half hours, the crow manages to bring worms to its nest 15 times.","A crow leaves its hiring, and flies back and forth from its nest to a nearby ditch to gather worms. The distance between the nest and the ditch is 100 meters. In one and a half hours, the crow manages to bring worms to its nest 15 times. What is the speed of the crow in kilometers per hour?","A crow leaves its nest, and flies back and forth from its nest to a nearby ditch to gather worms. The distance between the nest and the ditch is 00 meters. In and a half hours, the crow manages to bring worms to its nest 5 times. What is the speed of the crow in kilometers per hour?","A 1729 leaves its 100g, and flies back and forth from its nest to a nearby ditch to gather worms. The distance between the nest and the ditch is 100 meters. In one and a half hours, the crow manages to bring worms to its nest 15 times. What is the speed of the crow in kilometers per hour?","A crow leaves its nest, and flies back and forth from its nest to a nearby ditch to gather worms. The distance between the nest and the ditch is 100 kilometres. In one and a half weeks, the crow manages to bring worms to its nest 15 times. What is the speed of the crow in kilometres per hour?"
"If the sum of the first n positive integers is S, what is the sum of the first n negative even integers, in terms of S ?","If the sum of the first n positive integers is S, what is the sum of the first n negative even integers expressed in S?","If the sum of the first n positive integers is S, what is the sum of the first n negative even integers, in terms of S ?","If the sum of the first n positive integers is S, what is the sum of the first n negative even integers, in terms of S ?","If the sum of the first n positive integers is S, what is the sum of the first n negative even integers, in terms of S?","If the sum of the first n positive is S, what is the sum of the first n negative even , in terms of S ?","If the sum of the first n positive integers is S, what is the sum of the first n negative even integers, in terms","If the sum of the first n positive sixes is S, what is the sum of the first n negative even integers, in terms of S ?","If the sum of the first n positive integers is S, what is the sum of the first n negative even integers, in terms of S?","In terms of S, what is the sum of the first n positive and first n negative even numbers?","If the sum of the first n positive integers is S, what is the sum of the first n negative even integers, in terms of S?"
"Out of first 28 natural numbers, one number is selected at random. The probability that it is either an even number or a prime number is -.","From the first 28 natural numbers, one is chosen at random.The probability that this is either an even number or a prime number is -.","Out of first 28 natural numbers, one number is selected at random. The probability that it is either an even number or a prime number is -.","Out of first twenty-eight natural numbers, one number is selected at random. The probability that it is either an even number or a prime number is -.",,"Out of first 28 , one number is selected at random. The probability that it is either an even number or a prime number is -.","Out of first 28 natural numbers, one number is selected at random.","Out of first 28 natural 394s, one number is selected at random. The probability that it is either an even number or a prime number is -.","Out of first natural numbers, number is selected at random. The probability that it is either an even number or a prime number is -.","Out of first 28 subscribe nursings, one number is selected at random. The probability that it is either an even number or a prime number is -.","Out of first 28 natural 10m3s, one number is selected at random. The probability that it is either an even number or a prime number is -."
A person purchased a TV set for Rs. 16000 and a DVD player for Rs. 1500. He sold both the items together for Rs. 31150. What percentage of profit did he make?,One person bought a TV for Rs.16000 and a DVD player for R's.He sold the two items together for Rs.What percentage of the profits did he make?,A person purchased a TV set for Rs. 16000 and a DVD player for Rs. 1500. He sold both the items together for Rs. 31150. What percentage of profit did he make?,"A person purchased a TV set for Rs. Sixteen thousand and a DVD player for Rs. One thousand, five hundred. He sold both the items together for Rs. Thirty-one thousand, one hundred and fifty. What percentage of profit did he make?",A person purchased a TV set for Rupees. 16000 and a DVD player for Rupees. 1500. He sold both the items together for Rs. 31150. What percentage of profit did he make?,A person purchased a TV set for Rs. 16000 and a DVD player for Rs. 1500. He sold both the items together for Rs. 31150. What of profit did he make?,A person purchased a TV set for Rs. 16000 and a DVD player for Rs. 1500. He sold both the items together for Rs. 31150.,A petoddon purchased a TV set for Rs. 16000 and a DVD player for Rs. 1500. He sold both the items together for Rs. rules. What percentage of profit did he make?,A person purchased a TV set for Rs. and a DVD player for Rs. 1500. He sold both the items together for Rs. . What percentage of profit did he make?,A peexporteron purchased a TV set for Rs. 16000 and a DVD player for Rs. 1500. He sold both the items together for Rs. yes. What percentage of profit did he make?,A person purchased a TV set for EUR. 16000 and a DVD player for EUR. 1500. He sold both the items together for Rs. 31150. What percentage of profit did he make?
"A certain car uses one gallon of gasoline every 34 miles when it travels on highway, and one gallon of gasoline every 20 miles when it travels in the city. When a car travels 4 miles on highway and 4 additional miles in the city, it uses what percent more gasoline than if it travels 8 miles on the highway?","A particular car consumes a gallon of gasoline every 34 miles when traveling on the highway, and a gallon of gasoline every 20 miles when traveling in the city.If a car travels 4 miles on the highway and 4 additional miles in the city, what percentage more gasoline does it use than it travels 8 miles on the highway?","A certain car uses one gallon of gasoline every 34 miles when it travels on highway, and one gallon of gasoline every 20 miles when it travels in the city. When a car travels 4 miles on highway and 4 additional miles in the city, it uses what percent more gasoline than if it travels 8 miles on the highway?","A certain car uses one gallon of gasoline every 3four miles when it travels on highway, and one gallon of gasoline every twenty miles when it travels in the city. When a car travels four miles on highway and four additional miles in the city, it uses what percent more gasoline than if it travels eight miles on the highway?",,"A certain car uses one gallon of every 34 miles when it travels on highway, and one gallon of every 20 miles when it travels in the city. When a car travels 4 miles on highway and 4 additional miles in the city, it uses what percent more than if it travels 8 miles on the highway?","A certain car uses one gallon of gasoline every 34 miles when it travels on highway, and one gallon of gasoline every 20 miles when it travels in the city.","A certain car uses one gallon of gasoline every 34 inga when it 2x1 on highway, and one gallon of gasoline every 20 miles when it travels in the city. When a car travels 4 miles on highway and 4 additional miles in the city, it uses what percent more gasoline than if it travels 8 miles on the highway?","A certain car uses 1 gallon of gasoline every 3 miles when it travels on highway, 1 gallon of gasoline every 20 miles when it travels in the city. When a car travels miles on highway and additional miles in the city, it uses what percent more gasoline than if it travels miles on the highway?","A certain car uses one gallon of gasoline every 34 6670 when it 934 on highway, and one gallon of gasoline every 20 miles when it travels in the city. When a car travels 4 miles on highway and 4 additional miles in the city, it uses what percent more gasoline than if it travels 8 miles on the highway?","A certain car uses one gallon of gasoline every 34 mile when it travels on highway, and one gallon of gasoline every 20 miles when it travels in the city. When a car travels 4 miles on highway and 4 additional miles in the city, it uses what percent more gasoline than if it travels 8 miles on the highway?"
"How many 3 digit numbers can be formed from the digits 2,3,5,6,7
and 9 which are divisible by 5 and none of the digits is repeated?","How many three digits can be formed from the numbers 2,3,5,6,7 and 9, which are divisible by 5 and none of the digits is repeated?","How many 3 digit numbers can be formed from the digits 2,3,5,6,7
and 9 which are divisible by 5 and none of the digits is repeated?","How many three digit numbers can be formed from the digits two,three,five,six,seven and nine which are divisible by five and none of the digits is repeated?","How many 3 digit numbers can be formed from the digits 2,3,5,6,7 and 9 which are divisible by 5 and none of the digits is repeated?","How 3 digit numbers can be formed from the digits 2,3,5,6,7 and 9 which are divisible by 5 and none of the digits is repeated?","How many 3 digit numbers can be formed from the digits 2,3,5,6,7","How many 3 digit numbers can be formed from the stocking 2,3,5,6,7
and 9 which are divisible by 5 and none of the digits is repeated?","How many 3 digit numbers can be formed from the digits 2,3, , ,7 and 9 which are divisible by and none of the digits is repeated?","If the digits 2,3,6,7 and 9 are not repeated and the digits are 5, how many 3 digit numbers can be formed?","How many 3 digit numbers can be formed from the digits 2,3,5,6,7 and 9 which are divisible by 5 and none of the digits is repeated?"
"A question paper consists of five problems, each problem having three internal choices. In how many ways can a candidate attempt one or more problems?","A questionnaire consists of five problems, each of which has three internal possibilities.How many ways can a candidate try to solve one or more problems?","A question paper consists of five problems, each problem having three internal choices. In how many ways can a candidate attempt one or more problems?","A question paper consists of five problems, each problem having three internal choices. In how many ways can a candidate attempt one or more problems?",,"A question paper consists of five problems, each problem having three internal choices. In how many ways can a attempt one or more problems?","A question paper consists of five problems, each problem having three internal choices.","A question paper consists of five 14cogs, each problem having three internal choices. In how many ways can a candidate 67and one or more problems?","A question paper consists of problems, each problem having 3 internal choices. In how many ways can a candidate attempt or more problems?","A question paper consists of five âˆš6016, each problem having three internal choices. In how many ways can a candidate 3150 one or more problems?","A question paper consists of five 76800, each problem having three internal choices. In how many ways can a candidate attempt one or more problems?"
"TOM traveled the entire 60 miles trip. If he did the first 12 miles of at a constant rate 24 miles per hour and the remaining trip of at a constant rate 48 miles per hour, what is the his average speed, in miles per hour?","TOM has done the entire 60-mile journey.If he covered the first 12 miles at a constant speed of 24 miles per hour and the rest of the journey at a constant speed of 48 miles per hour, what is his average speed, in miles per hour?","TOM traveled the entire 60 miles trip. If he did the first 12 miles of at a constant rate 24 miles per hour and the remaining trip of at a constant rate 48 miles per hour, what is the his average speed, in miles per hour?","TOM traveled the entire sixty miles trip. If he did the first twelve miles of at a constant rate twenty-four miles per hour and the remaining trip of at a constant rate forty-eight miles per hour, what is the his average speed, in miles per hour?",,"TOM traveled the entire 60 miles trip. If he did the first 12 miles of at a 24 miles per hour and the remaining trip of at a 48 miles per hour, what is the his average speed, in miles per hour?",TOM traveled the entire 60 miles trip.,"Asgar traveled the entire 60 miles trip. If he did the first 12 miles of at a constant rate 24 miles per hour and the remaining trip of at a constant rate 48 miles per hour, what is the his average speed, in miles per hour?","TOM traveled the entire miles trip. If he did the first 12 miles of at a constant rate 24 miles per hour and the remaining trip of at a constant rate miles per hour, what is the his average speed, in miles per hour?","TOM traveled the entire 60 nos trip. If he did the first 12 miles of at a constant rate 24 miles per hour and the remaining trip of at a constant rate 48 miles per hour, what is the his average speed, in miles per hour?","TOM traveled the entire 60 millimetres trip. If he did the first 12 miles of at a constant rate 24 miles per hour and the remaining trip of at a constant rate 48 miles per hour, what is the his average speed, in miles per hour?"
Some persons can do a piece of work in 20 days. Two times the number of these people will do half of that work in?,Some people can do some work in 20 days.Twice as many people will do half the job?,Some persons can do a piece of work in 20 days. Two times the number of these people will do half of that work in?,Some persons can do a piece of work in twenty days. Two times the number of these people will do half of that work in?,,Some persons can do a piece of in 20 days. Two times the number of these people will do half of that in?,Some persons can do a piece of work in 20 days.,Some persons can chimpanzee a piece of rs30 in 20 days. Two times the number of these people will do half of that work in?,Some persons can do a piece of work in days. times the number of these people will do half of that work in?,It is possible for some people to do a piece of work in 20 days.,Some persons can do a piece of work in 20 months. Two times the number of these people will do half of that work in?
Sonika deposited Rs.8000 which amounted to Rs.9200 after 3 years at simple interest. Had the interest been 2% more. She would get how much?,"Sonika deposited Rs.8000, which after 3 years amounted to Rs.9200, at simple interest.Interest rates would have been 2 per cent higher.How much would she get?",Sonika deposited Rs.8000 which amounted to Rs.9200 after 3 years at simple interest. Had the interest been 2% more. She would get how much?,Sonika deposited Rs.eight thousand which amounted to Rs.9two00 after three years at simple interest. Had the interest been two% more. She would get how much?,,Sonika deposited Rs.8000 which amounted to Rs.9200 after 3 at simple interest. Had the interest been 2% more. She would get how much?,Sonika deposited Rs.8000 which amounted to Rs.9200 after 3 years at simple interest. Had the interest been 2% more.,Sonika deposited Rs.8000 which amounted to Rs.120y after 3 years at simple interest. Had the interest been 2% more. She would get how much?,Sonika deposited Rs. 8000 which amounted to Rs. 9 00 after years at simple interest. Had the interest been % more. She would get how much?,"After 3 years, Sonika had deposited Rs.8000 and had interest of 2% more.",Sonika deposited Rs.8000 which amounted to Rs.9200 after 3 weeks at simple interest. Had the interest been 2% more. She would get how much?
"Forks, Spoons, and Knives in drawer are in the ratio of 4: 4 : 3. If there are 16 Forks, the number of Knives in the drawer is:","Forks, spoons and knives in the drawer have a 4: 4: 3 ratio.If 16 forks are available, the number of knives in the drawer is:","Forks, Spoons, and Knives in drawer are in the ratio of 4: 4 : 3. If there are 16 Forks, the number of Knives in the drawer is:","Forks, Spoons, and Knives in drawer are in the ratio of four: four : three. If there are sixteen Forks, the number of Knives in the drawer is:","Forks, Spoons, and Knives in drawer are in the ratio of 4: 4: 3. If there are 16 Forks, the number of Knives in the drawer is:","Forks, Spoons, and Knives in are in the ratio of 4: 4 : 3. If there are 16 Forks, the number of Knives in the is:","Forks, Spoons, and Knives in drawer are in the ratio of 4: 4 : 3.","Forks, Spoons, and Knives in drawer are in the ratio of 4: 4 : 3. If there are 16 Forks, the number of in the drawer is:","Forks, Spoons, and Knives in drawer are in the ratio of : : . If there are 16 Forks, the number of Knives in the drawer is:","Forks, Spoons, and Knives in drawer are in the ratio of 4: 4 : 3. If there are 16 Forks, the number of Knives in the drawer is:","Forks, Spoons, and Knives in drawer are in the ratio of 4: 4: 3. If there are 16 Forks, the number of Knives in the drawer is:"
"Each night before he goes to bed, Jordan likes to pick out an outfit to wear the next day. He has 10 different shirts, 10 different pairs of jeans, and 8 pairs of sneakers. If an outfit consists of 1 shirt, 1 pair of jeans, and 1 pair of sneakers, how many different outfits does Jordan have?","Every night before going to bed, Jordan likes to pick out an outfit to wear the next day.He has 10 different shirts, 10 different jeans and 8 pairs of trainers.If an outfit consists of 1 shirt, 1 pair of jeans and 1 pair of trainers, how many different outfits does Jordan have?","Each night before he goes to bed, Jordan likes to pick out an outfit to wear the next day. He has 10 different shirts, 10 different pairs of jeans, and 8 pairs of sneakers. If an outfit consists of 1 shirt, 1 pair of jeans, and 1 pair of sneakers, how many different outfits does Jordan have?","Each night before he goes to bed, Jordan likes to pick out an outfit to wear the next day. He has ten different shirts, ten different pairs of jeans, and eight pairs of sneakers. If an outfit consists of one shirt, one pair of jeans, and one pair of sneakers, how many different outfits does Jordan have?",,"Each night before he goes to bed, Jordan likes to pick out an to wear the next day. He has 10 different shirts, 10 different pairs of jeans, and 8 pairs of sneakers. If an consists of 1 shirt, 1 pair of jeans, and 1 pair of sneakers, how many different s does Jordan have?","Each night before he goes to bed, Jordan likes to pick out an outfit to wear the next day. He has 10 different shirts, 10 different pairs of jeans, and 8 pairs of sneakers.","Each night before he goes to bed, Shambhavi likes to pick out an outfit to wear the next day. He has 10 different shirts, 10 different pairs of jeans, and 8 pairs of sneakers. If an outfit consists of 1 shirt, 1 pair of jeans, and 1 pair of sneakers, how many different outfits does Tiphani have?","Each night before he goes to bed, Jordan likes to pick out an outfit to wear the next day. He has different shirts, different pairs of jeans, and pairs of sneakers. If an outfit consists of 1 shirt, 1 pair of jeans, and 1 pair of sneakers, how many different outfits does Jordan have?","Each night before he goes to bed, Jordan likes to pick out an croton to wear the next day. He has 10 different shirts, 10 different pairs of jeans, and 8 pairs of s6. If an outfit consists of 1 shirt, 1 pair of jeans, and 1 pair of sneakers, how many different outfits does Jordan have?","Each night before he goes to bed, Jordan likes to pick out an outfit to wear the next week. He has 10 different shirts, 10 different pairs of jeans, and 8 pairs of sneakers. If an outfit consists of 1 shirt, 1 pair of jeans, and 1 pair of sneakers, how many different outfits does Jordan have?"
A sum of Rs.1460 is divided into 13 students so that each boy gets Rs.120 while each girl gets Rs.100. Find the number of boys and number of girls,"A sum of Rs.1460 is divided into 13 students, so that each boy receives Rs.120, while each girl receives Rs.100.Calculate the number of boys and girls",A sum of Rs.1460 is divided into 13 students so that each boy gets Rs.120 while each girl gets Rs.100. Find the number of boys and number of girls,"A sum of Rs.one thousand, four hundred and sixty is divided into thirteen students so that each boy gets Rs.one hundred and twenty while each girl gets Rs.one hundred. Find the number of boys and number of girls",,A sum of Rs.1460 is divided into 13 students so that each gets Rs.120 while each girl gets Rs.100. Find the number of s and number of girls,A sum of Rs.1460 is divided into 13 students so that each boy gets Rs.120 while each girl gets Rs.100.,A sum of is divided into 13 students so that each boy gets Rs.120 while each girl gets Rs.100. Find the number of boys and number of girls,A sum of Rs. 1460 is divided into students so that each boy gets Rs. while each girl gets Rs. 100. Find the number of boys and number of girls,A sum of Rs.1460 is divided into 13 students so that each boy ips Rs.120 while each girl gets Rs.100. Find the number of boys and number of girls,A sum of Rs.102x is divided into 13 students so that each boy 926 Rs.120 while each girl gets Rs.100. Find the number of boys and number of girls
Find the ratio in which rice at Rs.7.20 a kg be mixed with rice at Rs.5.70 a kg to produce a mixture worth Rs.6.30 a kg?,Do you find the ratio where rice is mixed at Rs.7.20 per kg with rice at Rs.5.70 per kg to produce a mixture worth Rs.6.30 per kg?,Find the ratio in which rice at Rs.7.20 a kg be mixed with rice at Rs.5.70 a kg to produce a mixture worth Rs.6.30 a kg?,Find the ratio in which rice at Rs.seven.twenty a kg be mixed with rice at Rs.five.seventy a kg to produce a mixture worth Rs.six.thirty a kg?,Find the ratio in which rice at Rs.7.20 a kilogram be mixed with rice at Rs.5.70 a kilogram to produce a mixture worth Rs.6.30 a kilogram?,Find the ratio in which at Rs.7.20 a kg be mixed with at Rs.5.70 a kg to produce a mixture worth Rs.6.30 a kg?,Find the ratio in which rice at Rs.7.20 a kg be mixed with rice at Rs.5.70 a kg to produce a mixture worth,Find the ratio in which rice at Rs.7.20 a weeks be mixed with rice at Rs.5.70 a kg to produce a mixture worth Rs.6.30 a kg?,Find the ratio in which rice at Rs. . 20 a kg be mixed with rice at Rs. 5. a kg to produce a mixture worth Rs. 6. 30 a kg?,Find the ratio of rice to rice to produce a mixture of rice worth Rs.6.30 a kilogram.,Find the ratio in which rice at Rs.7.20 a g be mixed with rice at Rs.5.70 a kg to produce a mixture worth Rs.6.30 a kg?
"Two carpenters, working in the same pace, can build 2 desks in two hours and a half. How many desks can 4 carpenters build in 3 hours?",Two carpenters working at the same speed can build two desks in two and a half hours.How many desks can 4 joiners build in 3 hours?,"Two carpenters, working in the same pace, can build 2 desks in two hours and a half. How many desks can 4 carpenters build in 3 hours?","Two carpenters, working in the same pace, can build two desks in two hours and a half. How many desks can four carpenters build in three hours?",,"Two carpenters, working in the same pace, can build 2 in two hours and a half. How many can 4 carpenters build in 3 hours?","Two carpenters, working in the same pace, can build 2 desks in two hours and a half.","Two __________, working in the same pace, can build 2 tomato in two hours and a half. How many desks can 4 carpenters build in 3 hours?","carpenters, working in the same pace, can build desks in hours and a half. How many desks can 4 carpenters build in hours?",There are two carpenters who can build 2 desks in 2 hours and a half.,"Two carpenters, working in the same pace, can build 2 desks in two minutes and a half. How many desks can 4 carpenters build in 3 hours?"
"On her annual road trip to visit her family in Seal Beach, California, Traci stopped to rest after she traveled 1⁄3 of the total distance and again after she traveled 1⁄4 of the distance remaining between her first stop and her destination. She then drove the remaining 300 miles and arrived safely at her destination. What was the total distance, in miles, from Traci’s starting point to Seal Beach?","On her annual road trip to visit her family in Seal Beach, California, Traci paused to rest after covering a third of the distance and again after covering a quarter of the distance between her first stop and her destination.Then she drove the remaining 300 miles and reached her destination safely.How long was the entire distance, in miles, from Traci's starting point to Seal Beach?","On her annual road trip to visit her family in Seal Beach, California, Traci stopped to rest after she traveled 1⁄3 of the total distance and again after she traveled 1⁄4 of the distance remaining between her first stop and her destination. She then drove the remaining 300 miles and arrived safely at her destination. What was the total distance, in miles, from Traci’s starting point to Seal Beach?","On her annual road trip to visit her family in Seal Beach, California, Traci stopped to rest after she traveled one⁄three of the total distance and again after she traveled one⁄four of the distance remaining between her first stop and her destination. She then drove the remaining three00 miles and arrived safely at her destination. What was the total distance, in miles, from Traci’s starting point to Seal Beach?","On her annual road trip to visit her family in Seal Beach, California, Traci stopped to rest after she traveled 1⁄3 of the total distance and again after she traveled 1⁄4 of the distance remaining between her first stop and her destination. She then drove the remaining 300 miles and arrived safely at her destination. What was the total distance, in miles, from Traci ’ s starting point to Seal Beach?","On her annual road trip to visit her family in Seal Beach, California, Traci stopped to rest after she traveled 1⁄3 of the and again after she traveled 1⁄4 of the distance remaining between her first stop and her destination. She then drove the remaining 300 miles and arrived safely at her destination. What was the , in miles, from Traci’s starting point to Seal Beach?","On her annual road trip to visit her family in Seal Beach, California, Traci stopped to rest after she traveled 1⁄3 of the total distance and again after she traveled 1⁄4 of the distance remaining between her first stop and her destination. She then drove the remaining 300 miles and arrived safely at her destination.","On her annual road trip to visit her family in Seal Beach, , Traci stopped to rest after she traveled 1⁄3 of the total distance and again after she traveled 1⁄4 of the distance remaining between her first stop and her destination. She then drove the remaining 300 miles and arrived safely at her destination. What was the total distance, in miles, from Traci’s starting point to ?","On her annual road trip to visit her family in Seal Beach, California, Traci stopped to rest after she traveled 1⁄ of the total distance and again after she traveled 1⁄4 of the distance remaining between her first stop and her destination. She then drove the remaining 00 miles and arrived safely at her destination. What was the total distance, in miles, from Traci’s starting point to Seal Beach?","On martians annual road trip to visit her family in Seal Beach, California, Traci stopped to rest after she traveled 1⁄3 of the total distance and again after she traveled 1⁄4 of the distance remaining between her first stop and her destination. She then drove the remaining 300 miles and arrived safely at her destination. What was the total distance, in miles, from Traci’s starting point to Seal Beach?","On her annual road trip to visit her family in Seal Beach, California, Traci stopped to rest after she traveled 1⁄3 of the total distance and again after she traveled 1⁄4 of the distance remaining between her first stop and her destination. She then drove the remaining 300 centimeters and arrived safely at her destination. What was the total distance, in centimetres, from Traci ’ s starting point to Seal Beach?"
